"measure_1","measure_2","tau","networks"
"centroid","community_based",0.8512,19
"cross_clique","onion",0.8508,19
"katz","weighted_h_index",0.8507,19
"mnc","node_contraction_improved",0.8505,13
"hindex_strength","kpath",0.8504,19
"kpath","lobby",0.8504,19
"hindex_strength","random_walk",0.8504,19
"lobby","random_walk",0.8504,19
"eigenvector","random_walk",0.8503,19
"expected","markov",0.8501,19
"gravity","hub",0.85,19
"cross_clique","lac",0.85,18
"cross_clique","redundancy",0.85,18
"hindex_strength","information",0.8498,19
"current_flow_betweenness","load",0.8498,19
"information","lobby",0.8498,19
"expected_influence_2","random_walk",0.8498,19
"expected_influence_2","local_volume_dimension",-0.8497,19
"authority","delta_closeness",0.8493,19
